date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,4.1,2.2,6.1,0,,268,24.8,,1003,
2020-01-02,4.2,1.1,9.4,0,,231,20.2,,1010.7,
2020-01-03,8.2,6.7,11.1,0,,231,11.5,,1008.2,
2020-01-04,8.1,4.4,8.9,3.3,,14,8.6,,1004,
2020-01-05,3.9,0,5,2.8,,308,26.6,,1004.1,
2020-01-06,0.4,-2.7,5,0,,242,10.8,,1013.2,
2020-01-07,3.2,0.6,5.6,0,,214,14.8,,1015.3,
2020-01-08,3.4,-1.6,7.2,0.5,,282,22.7,,1010.9,
2020-01-09,-1.6,-5.5,0.6,0,,304,21.2,,1035.2,
2020-01-10,3.2,-1.6,11.7,0,,218,22.3,,1032.7,
2020-01-11,13.9,9.4,21.1,0,,208,29.2,,1021.4,
2020-01-12,18.7,4.4,23.3,0.5,,254,33.5,,1014.7,
2020-01-13,5.1,2.2,6.1,0.3,,53,14.8,,1030.7,
2020-01-14,3.9,2.8,5.6,0,,153,9,,1025.6,
2020-01-15,6.9,3.9,11.1,0,,271,13.7,,1018.8,
2020-01-16,5.5,-1,8.3,2.5,,292,24.5,,1010.8,
2020-01-17,-4.1,-8.8,-1,0,,317,32.4,,1030.5,
2020-01-18,-7.7,-9.9,0.6,7.1,,260,14,,1028.7,
2020-01-19,0.7,-4.3,7.2,0.5,,274,21.6,,1005.2,
2020-01-20,-3.4,-7.1,-1,0,,311,22.3,,1020.6,
2020-01-21,-4.9,-7.7,-2.1,0,,331,12.2,,1029.1,
2020-01-22,-1.9,-6.6,3.9,0,,268,7.9,,1029.8,
2020-01-23,2.2,-3.2,10,0,,224,11.9,,1027.6,
2020-01-24,4.9,1.1,8.9,0,,5,11.2,,1029,
2020-01-25,5.7,4.4,10,17.8,,83,22.7,,1020.4,
2020-01-26,8.4,4.4,10.6,0,,252,20.2,,1004.8,
2020-01-27,5.7,3.9,8.9,0,,258,19.8,,1002.4,
2020-01-28,5,2.2,5.6,0,,318,20.9,,1006.8,
2020-01-29,2.6,-1.6,6.1,0,,327,16.9,,1016.1,
2020-01-30,-1.7,-5.5,0.6,0,,358,12.2,,1026.2,
2020-01-31,1.7,-1.6,8.3,0,,223,14.4,,1025.7,
2020-02-01,3.5,1.1,5,0.5,,80,7.2,,1013.1,
2020-02-02,4,2.2,6.7,0,,304,11.2,,999.6,
2020-02-03,5.2,1.7,10,0,,268,15.5,,1007.1,
2020-02-04,5.6,1.7,8.3,0,,23,5,,1009.7,
2020-02-05,5.2,0.6,6.1,1.3,,358,10.1,,1015.2,
2020-02-06,2.9,1.1,5,11.2,,58,19.8,,1007,
2020-02-07,4.2,-1,13.3,8.1,,334,24.1,,987.9,
2020-02-08,-0.3,-3.8,2.8,0,,285,26.6,,1017.2,
2020-02-09,-2.8,-6.6,3.3,0,,63,11.9,,1033.4,
